id_driver,date_registration,driver_rating,gold_level_count,receive_marketing,country_code,service_type,,,,,,
58638457,27-05-2020,4.95,0,TRUE,DE,PHV,,,,,,
43466511,28-02-2019,4.88,4,FALSE,ES,TAXI,,,,,,
53772092,10-09-2019,4.89,2,TRUE,DE,PHV,,,,,,
19942584,14-08-2013,4.91,41,TRUE,ES,TAXI,,,,,,
8315215,08-11-2013,4.99,22,TRUE,DE,TAXI,,,,,,
13438150,02-01-2015,4.88,0,TRUE,DE,TAXI,,,,,,
16845015,26-04-2016,4.9,61,TRUE,DE,TAXI,,,,,,
4684440,06-03-2013,4.87,0,FALSE,DE,TAXI,,,,,,
28228433,16-05-2018,4.92,0,TRUE,DE,TAXI,,,,,,
2355,29-05-2011,4.83,2,TRUE,DE,TAXI,,,,,,
24196663,17-11-2017,4.98,41,TRUE,ES,TAXI,,,,,,
9671306,12-02-2014,4.87,0,TRUE,DE,TAXI,,,,,,
28292739,18-05-2018,4.82,5,TRUE,DE,TAXI,,,,,,
30431425,13-07-2018,4.99,33,TRUE,DE,TAXI,,,,,,
1619,29-05-2011,4.77,1,TRUE,DE,TAXI,,,,,,
1367195,13-06-2012,4.9,5,FALSE,DE,TAXI,,,,,,
16709226,13-04-2016,4.97,0,TRUE,ES,TAXI,,,,,,
19880148,07-09-2016,4.86,30,TRUE,ES,TAXI,,,,,,
55986595,12-12-2019,4.83,0,TRUE,ES,TAXI,,,,,,
16117759,12-02-2016,4.86,45,TRUE,ES,TAXI,,,,,,
27665248,27-04-2018,4.78,27,TRUE,DE,TAXI,,,,,,
15054189,26-10-2015,5,24,TRUE,DE,TAXI,,,,,,
24982243,02-01-2018,4.86,23,TRUE,DE,TAXI,,,,,,
57152743,29-01-2020,4.95,0,TRUE,DE,PHV,,,,,,
4464873,18-02-2013,4.86,81,TRUE,DE,TAXI,,,,,,
43466363,28-02-2019,4.75,6,TRUE,ES,TAXI,,,,,,
16707568,13-04-2016,4.93,11,TRUE,ES,TAXI,,,,,,
27397856,18-04-2018,4.94,22,FALSE,ES,TAXI,,,,,,
21062553,11-05-2017,4.9,55,TRUE,ES,TAXI,,,,,,
33815469,14-12-2018,4.98,41,TRUE,ES,TAXI,,,,,,
3043858,16-11-2012,4.97,73,FALSE,DE,TAXI,,,,,,
48394717,21-03-2019,4.81,8,TRUE,DE,TAXI,,,,,,
24066886,08-11-2017,4.94,40,TRUE,ES,TAXI,,,,,,
18852519,27-10-2016,4.89,6,TRUE,DE,TAXI,,,,,,
457231,23-11-2011,4.95,17,TRUE,DE,TAXI,,,,,,
55335631,14-11-2019,4.68,2,TRUE,ES,TAXI,,,,,,
344467,23-10-2011,4.94,1,TRUE,DE,TAXI,,,,,,
27634851,26-04-2018,4.98,73,TRUE,DE,TAXI,,,,,,
53846676,13-09-2019,4.62,0,TRUE,DE,PHV,,,,,,
19645935,09-01-2017,4.99,14,FALSE,ES,TAXI,,,,,,
55749941,02-12-2019,4.96,8,TRUE,DE,PHV,,,,,,
12708181,22-10-2014,4.96,1,TRUE,ES,TAXI,,,,,,
53343292,22-08-2019,4.98,1,FALSE,DE,TAXI,,,,,,
18689601,13-10-2016,5,70,TRUE,DE,TAXI,,,,,,
16478391,23-03-2016,4.64,20,TRUE,ES,TAXI,,,,,,
47682414,12-03-2019,4.95,14,FALSE,ES,TAXI,,,,,,
53632916,04-09-2019,4.88,16,TRUE,ES,TAXI,,,,,,
18244359,07-09-2016,4.9,49,TRUE,DE,TAXI,,,,,,
57004267,22-01-2020,4.95,38,TRUE,ES,TAXI,,,,,,
55607029,27-11-2019,4.81,1,FALSE,ES,TAXI,,,,,,
1080680,15-03-2012,4.84,63,TRUE,DE,TAXI,,,,,,
19230594,02-12-2016,4.96,2,TRUE,ES,TAXI,,,,,,
24706280,18-12-2017,4.96,19,FALSE,DE,TAXI,,,,,,
279846,02-09-2011,4.92,0,TRUE,DE,TAXI,,,,,,
25816410,26-02-2018,4.88,10,TRUE,ES,TAXI,,,,,,
28783341,01-06-2018,4.99,56,TRUE,DE,TAXI,,,,,,
54980558,28-10-2019,4.94,0,TRUE,DE,PHV,,,,,,
52191910,02-07-2019,4.95,18,TRUE,ES,TAXI,,,,,,
16419444,18-03-2016,4.84,2,FALSE,DE,TAXI,,,,,,
